query,positive,negative
VQABQ: Visual Question Answering by Basic Questions,"['An Analysis of Visual Question Answering Algorithms', 'VizWiz: nearly real-time answers to visual questions', 'C-VQA: A Compositional Split of the Visual Question Answering (VQA) v1.0 Dataset', 'Stacking with Auxiliary Features for Visual Question Answering', 'Structured Attentions for Visual Question Answering']","['Uncertain Data Mining: An Example in Clustering Location Data', 'Cross-Sentence N-ary Relation Extraction with Graph LSTMs', '3-D sound for virtual reality and multimedia', 'Fast multiple objects detection and tracking fusing color camera and 3D LIDAR for intelligent vehicles', 'Link prediction in social networks: the state-of-the-art', 'Microservice Ambients: An Architectural Meta-Modelling Approach for Microservice Granularity', 'Secure Scrum: Development of Secure Software with Scrum', 'A pattern language for error management in voice user interfaces', 'An experimental comparison of classification algorithms for imbalanced credit scoring data sets', 'Multi-document summarization using cluster-based link analysis', 'English in South Africa', 'Improving Stock Market Prediction via Heterogeneous Information Fusion', 'A Honeypot Architecture for Detecting and Analyzing Unknown Network Attacks', 'MVOR: A Multi-view RGB-D Operating Room Dataset for 2D and 3D Human Pose Estimation', 'Looking through the Glass Ceiling: A Qualitative Study of STEM Women’s Career Narratives', 'Assessing risk for sexual recidivism: some proposals on the nature of psychologically meaningful risk factors.', 'End-to-end learning for lane keeping of self-driving cars', 'Fast Algorithms for Mining Association Rules', 'Convolutional Sequence to Sequence Learning', 'Social Interactions in Massively Multiplayer Online Role-Playing Gamers', 'Hematopoiesis: An Evolving Paradigm for Stem Cell Biology', 'Measuring the Hubble Constant with Neutron Star Black Hole Mergers.', 'Extractive Summarization Using Supervised and Semi-Supervised Learning', 'Interaction, narrative, and drama: Creating an adaptive interactive narrative using performance arts theories', 'Deep Multitask Learning for Semantic Dependency Parsing']"
Exposure to violent media: the effects of songs with violent lyrics on aggressive thoughts and feelings.,"[""Television violence and children's aggression: testing the priming, social script, and disinhibition predictions."", 'Music and aggression: the impact of sexual-aggressive song lyrics on aggression-related thoughts, emotions, and behavior toward the same and the opposite sex.', 'Video game play, attention, and learning: how to shape the development of attention and influence learning?', 'Violent Media Content and Aggressiveness in Adolescents A Downward Spiral Model', 'The Effects of Violent Music on Children and Adolescents']","['Pattern-based Information Extraction and Diagnostics', 'Intrinsic Motivation and Academic Achievement What Does Their Relationship Imply for the Classroom Teacher ?', 'Efficient human action recognition using histograms of motion gradients and VLAD with descriptor shape information', 'Top-down control of visual attention in object detection', 'Survey of Probabilistic Graphical Models', 'Logic Programming with Prolog', 'Microencapsulation: its application in nutrition.', 'High quality MELP coding at bit-rates around 4 kb/s', ""Contributions of Social Comparison and Self-Objectification in Mediating Associations Between Facebook Use and Emergent Adults' Psychological Well-Being"", 'Supervised Text-based Geolocation Using Language Models on an Adaptive Grid', 'A survey of multimodal sentiment analysis', 'Finger Vein Recognition Using Local Line Binary Pattern', 'Incomplete Multisource Transfer Learning', 'A review on streptococcus mutans with its diseases dental caries, dental plaque and endocarditis', 'An Analysis of Hierarchical Text Classification Using Word Embeddings', 'An introduction to occupational science, a foundation for occupational therapy in the 21st century.', 'Stochastic Training of Neural Networks via Successive Convex Approximations', 'Effect of rule weights in fuzzy rule-based classification systems', 'Advanced battery management system using MATLAB/Simulink', 'The Research and Application of College Student Attendance System based on RFID Technology', 'Automatic Mass Balancing of Air-Bearing-Based Three-Axis Rotational Spacecraft Simulator', 'An Attention Mechanism for Neural Answer Selection Using a Combined Global and Local View', 'Pattern Recognition and Machine Learning Solutions to the Exercises : Web-Edition', 'Step by Step Towards Creating a Safe Smart Contract: Lessons and Insights from a Cryptocurrency Lab', 'Programming in the wild: trends in youth computational participation in the online scratch community']"
CUDT: A CUDA Based Decision Tree Algorithm,"['Parallel Formulations of Decision-Tree Classification Algorithms', 'SPRINT: A Scalable Parallel Classifier for Data Mining', 'Classification and Regression Trees', 'Genetic Algorithms in Search Optimization and Machine Learning', 'SLIQ: A Fast Scalable Classifier for Data Mining']","['Infinite Edge Partition Models for Overlapping Community Detection and Link Prediction', 'Web Content Analysis: Expanding the Paradigm', 'Novel Feed Network for Circular Polarization Antenna Diversity', 'Crown and post-free adhesive restorations for endodontically treated posterior teeth: from direct composite to endocrowns.', 'Indian Sign Language gesture classification as single or double handed gestures', 'A BiCMOS Ultra-Wideband 3.1&#8211;10.6-GHz Front-End', 'Information-theoretical label embeddings for large-scale image classification', 'Estimation of the Mathematical Parameters of Double-Exponential Pulses Using the Nelder–Mead Algorithm', 'Learning Parameterized Models of Image Motion', 'Knowledge Discovery in Biomedical Data Facilitated by Domain Ontologies', 'Microcephaly and early-onset nephrotic syndrome —confusion in Galloway-Mowat syndrome', 'Semi-Supervised Text Classification Using EM', 'Status of market, regulation and research of genetically modified crops in Chile.', 'Advanced Safe PIN-Entry Against Human Shoulder-Surfing Ms', 'Principles of spatial database analysis and design', 'Analysis of a microstrip patch array fed cylindric lens antenna for 77GHz automotive radar', 'A recommender system using GA K-means clustering in an online shopping market', 'Teaching cryptography with open-source software', 'Towards Modelling Pedestrian-Vehicle Interactions: Empirical Study on Urban Unsignalized Intersection', 'AUTOMATIC GENERATION OF PRESENTATION SLIDES FOR ACADEMIC PAPERS USING INTEGER LINEAR PROGRAMMING', 'SD-Layer: Stain Deconvolutional Layer for CNNs in Medical Microscopic Imaging', 'An Error-Oriented Approach to Word Embedding Pre-Training', 'A Machine Learning Approach to Software Requirements Prioritization', 'Large-scale deep learning at Baidu', 'Single-Channel and Multi-Channel Sinusoidal Audio Coding Using Compressed Sensing']"
A robust video based traffic light detection algorithm for intelligent vehicles,"['Real-time Dense Disparity Estimation based on Multi-Path Viterbi for Intelligent Vehicle Applications', 'Geodesic weighted Bayesian model for salient object detection', 'Traffic light recognition using deep neural networks', 'An Incremental Framework for Video-Based Traffic Sign Detection, Tracking, and Recognition', 'Real time visual traffic lights recognition based on Spot Light Detection and adaptive traffic lights templates']","['IM2GPS: estimating geographic information from a single image', 'Detecting patterns of anomalies', 'A Sequential Model for Multi-Class Classification', 'Under review as a conference paper at ICLR 2018', 'Survey of Fog Computing: Fundamental, Network Applications, and Research Challenges', 'Modular multilevel converter for large-scale multistring photovoltaic energy conversion system', 'Stereo odometry based on careful feature selection and tracking', 'Differential Evolution Training Algorithm for Feed-Forward Neural Networks', 'MnasNet: Platform-Aware Neural Architecture Search for Mobile', 'Limitations of Highly-Available Eventually-Consistent Data Stores', 'Friends or Foes: Is Empathy Necessary for Moral Behavior?', 'Detecting User Activities using the Accelerometer on Android Smartphones', 'A polynomial-time approximation scheme for maximizing the minimum machine completion time', 'Live Deduplication Storage of Virtual Machine Images in an Open-Source Cloud', 'The Efficiency of Attentional Networks in Early and Late Bilinguals: The Role of Age of Acquisition', 'A multiclass classification method based on deep learning for named entity recognition in electronic medical records', 'Locally Weighted Projection Regression : An O(n) Algorithm for Incremental Real Time Learning in High Dimensional Space', 'Forensic analysis of skimming devices for credit fraud detection', 'CGV - An interactive graph visualization system', 'A Feature-Based Approach for Group-Wise Grid Map Registration', 'An Elastic Multi-tenant Database Schema for Software as a Service', 'Efficient approaches for escaping higher order saddle points in non-convex optimization', 'Being Accurate Is Not Enough: New Metrics for Disk Failure Prediction', 'Distributed Multi-Robot Localization', 'Optical properties of human skin , subcutaneous and mucous tissues in the wavelength range from 400 to 2000 nm']"
News Blogs and Citizen Journalism: New Directions for e-Journalism,"['Social news, citizen journalism and democracy', 'Journalism and Globalization', 'Peace Journalism : Between advocacy journalism and constructive conflict coverage', 'Promoting transparency and accountability through ICTs , social media , and collaborative e-government', 'Beyond journalism: Theorizing the transformation of journalism']","['Quantitative Risk Management', 'Cognitive and emotional influences in anterior cingulate cortex', 'Extending Full Text Search for Legal Document Collections Using Word Embeddings', 'Improvising Organizational Transformation Over Time: A Situated Change Perspective', 'Millennials in the Workplace: A Communication Perspective on Millennials’ Organizational Relationships and Performance', 'Framewise phoneme classification with bidirectional LSTM networks', 'Complex Event Detection at Wire Speed with FPGAs', 'SYSTEMS CONTINUANCE : AN EXPECTATION-CONFIRMATION MODEL 1 By :', 'Directional water collection on wetted spider silk', 'Design of an all optical half-adder based on 2D photonic crystals', 'Stress prompts habit behavior in humans.', 'Fundamental Limitations of Small Antennas', 'Stereotype content model across cultures: towards universal similarities and some differences.', 'An Evaluation of the Human-Interpretability of Explanation', 'Neural Coreference Resolution with Deep Biaffine Attention by Joint Mention Detection and Mention Clustering', 'Deep Haptic Model Predictive Control for Robot-Assisted Dressing', 'Teaching and Developing Vocabulary : Key to Long-Term Reading Success', 'Security lapses and the omission of information security measures: A threat control model and empirical test', 'Federated Learning of Deep Networks using Model Averaging', 'Image to Image Translation for Domain Adaptation', 'Perceived Exclusion in the Workplace : The Moderating Effects of Gender on Work-Related Attitudes and Psychological Health', 'A Science Learning Environment using a Computational Thinking Approach', 'Deep Koalarization: Image Colorization using CNNs and Inception-ResNet-v2', 'Fine-grained Discriminative Localization via Saliency-guided Faster R-CNN']"
Contextual Priming and Feedback for Faster R-CNN,"['Finding Pictures of Objects in Large Collections of Images', 'Local Decorrelation For Improved Pedestrian Detection', 'Iterative Instance Segmentation', 'Learning to Fuse Things and Stuff', 'What Can Help Pedestrian Detection?']","['A Linear Programming Approach for Multiple Object Tracking', 'Evidence for physiotherapy practice: a survey of the Physiotherapy Evidence Database (PEDro).', 'Attitudes and cognitive organization.', 'The Knowledge Repository: Organizational Memory Information Systems', 'Hierarchical Singular Value Decomposition of Tensors', 'A higher order estimate of the optimum checkpoint interval for restart dumps', 'A Revocable Backup System', 'Low Cost Dual Polarized Base Station Element for Long Term Evolution', 'Design Challenges/Solutions for Environments Supporting the Analysis of Social Media Data in Crisis Informatics Research', 'Why is Stack Overflow Failing? Preserving Sustainability in Community Question Answering', 'USING THE ANALYTIC HIERARCHY PROCESS FOR DECISION MAKING IN ENGINEERING APPLICATIONS: SOME CHALLENGES', 'A survey of graph layout problems', 'Interleaving Helps Students Distinguish among Similar Concepts', 'Design of joint torque sensor and joint structure of a robot arm to minimize crosstalk and torque ripple', 'In-Vehicle Networks Outlook: Achievements and Challenges', 'Multilevel Spin-Orbit Torque MRAMs', 'Automated Vehicle Parking System using RFID', 'Real-time garbage collection for flash-memory storage systems of real-time embedded systems', 'Noncontact vital-sign radar sensor using metamaterial-based scanning leaky-wave antenna', 'Recurrent Neural Networks for Emotion Recognition in Video', 'Immunity-Based Intrusion Detection System: A General Framework', 'Fake iris detection based on 3D structure of iris pattern', 'A Flow Model of Neural Networks', 'Keyflow: a prototype for evolving SDN toward core network fabrics', 'A predictive model of menu performance']"
Trading structure for randomness in wireless opportunistic routing,"['Performance anomaly of 802.11b', 'Design of 5.9 ghz dsrc-based vehicular safety communication', 'GNU Radio 802 . 15 . 4 En-and Decoding', 'Rateless Codes and Big Downloads', 'Partially overlapped channels not considered harmful']","['A Tale of Two Cultures: Bringing Literary Analysis and Computational Linguistics Together', 'Autonomous Offroad Navigation Under Poor GPS Conditions', 'DeepSleepNet: A Model for Automatic Sleep Stage Scoring Based on Raw Single-Channel EEG', 'Nonparametric Bayes Pachinko Allocation', 'A Rule-Based Relation Extraction System using DBpedia and Syntactic Parsing', 'Multi-Target Tracking by Discrete-Continuous Energy Minimization', 'Probable networks and plausible predictions - a review of practical Bayesian methods for supervised neural networks', 'Qualitative research: standards, challenges, and guidelines', 'Where shall we go today?: planning touristic tours with tripbuilder', ""Facilitating Preservice Teachers' Development of Technological, Pedagogical, and Content Knowledge (TPACK)"", 'Helping a Victim or Helping the Victim : Altruism and Identifiability', 'A novel soil measuring wireless sensor network', 'A Four-Channel 94-GHz SiGe-Based Digital Beamforming FMCW Radar', 'Neural network-based adaptive controller design of robotic manipulators with an observer', 'Individualness and Determinantal Point Processes for Pedestrian Detection', 'A key management scheme for wireless sensor networks using deployment knowledge', 'Feature Selection for Classification: A Review', 'Frustratingly Easy Neural Domain Adaptation', 'A complete analytical solution to the inverse kinematics of the Pioneer 2 robotic arm', 'Robust Unit Commitment With Wind Power and Pumped Storage Hydro', 'End-fire phased array 5G antenna design using leaf-shaped bow-tie elements for 28/38 GHz MIMO applications', 'Generalized TM Dual-Mode Cavity Filters', 'Deep Learning for Physical Processes: Incorporating Prior Scientific Knowledge', 'Machine Learning algorithms : a study on noise sensitivity', 'Slicing the next mobile packet core network']"
Autoencoders trained with relevant information: Blending Shannon and Wiener's perspectives,"['Mean Shift, Mode Seeking, and Clustering', 'Autoencoders, Unsupervised Learning, and Deep Architectures', 'Adversarial Autoencoders', 'Information Theoretic-Learning auto-encoder', 'Information Theory, Inference, and Learning Algorithms']","['Feature Mining for Localised Crowd Counting', 'A Model-Driven Framework to Develop Personalized Health Monitoring', 'Pocket reflectometry', 'Phantom vibrations among undergraduates: Prevalence and associated psychological characteristics', 'Can Active Memory Replace Attention?', 'Learning Anisotropic RBF Kernels', 'Ovariohysterectomy versus ovariectomy for elective sterilization of female dogs and cats: is removal of the uterus necessary?', 'Real User Evaluation of Spoken Dialogue Systems Using Amazon Mechanical Turk', 'Evaluation of Consumer Understanding of Different Front-of-Package Nutrition Labels, 2010–2011', 'A Tidy Data Model for Natural Language Processing using cleanNLP', 'An Italian Twitter Corpus of Hate Speech against Immigrants', 'Towards reducing the attack surface of software backdoors', 'Does High Self-Esteem Cause Better Performance, Interpersonal Success, Happiness, or Healthier Lifestyles?', 'Discovering Texture Regularity as a Higher-Order Correspondence Problem', 'EPIC: Efficient Private Image Classification (or: Learning from the Masters)', 'Recognizing human activity in smart home using deep learning algorithm', 'Development of Self Balance Transporter : A Segway', 'Transformation of generalized chebyshev lowpass filter prototype to Suspended Stripline Structure highpass filter for wideband communication systems', 'Un Método para definir la Arquitectura de Procesos', 'Magnetic resonance imaging findings associated with surgically proven rotator interval lesions', 'ltm : An R Package for Latent Variable Modeling and Item Response Theory Analyses', 'Web-Based Ontology Languages and its Based Description Logics', 'Lexical Analysis for the Webshell Attacks', 'Mining frequent closed graphs on evolving data streams', 'Coupled IGMM-GANs for deep multimodal anomaly detection in human mobility data']"
ANFIS: adaptive-network-based fuzzy inference system,"['Soft transition from probabilistic to possibilistic fuzzy clustering', 'Nonlinear Network-Induced Time Delay Systems With Stochastic Learning', 'Digital Nations – Smart Cities, Innovation, and Sustainability', 'Fe b 20 04 A Diquark-Triquark Model for the KN Pentaquark']","['Using innovative instructions to create trustworthy software solutions', 'A compact planar 24GHz quasi-Yagi antenna for unmanned aerial vehicle radar applications', 'Motion Robust Remote-PPG in Infrared', ""Representations of Buddhism in Ondaatje's Anil's Ghost"", 'Anterior open-bite treatment by means of zygomatic miniplates: a case report', 'The CIPS-SIGHAN CLP2010 Chinese Word Segmentation Backoff', 'A Compact Polyimide-Based UWB Antenna for Flexible Electronics', 'Secondary syphilis and HIV.', 'Verification and validation of bioinformatics software without a gold standard: a case study of BWA and Bowtie', '3D attention-driven depth acquisition for object identification', 'Existence and uniqueness theorem for uncertain differential equations', 'Intelligent heart disease prediction system using data mining techniques', 'Novel pathogenetic mechanisms and structural adaptations in ischemic mitral regurgitation.', 'Power-Aware Optimized RRH to BBU Allocation in C-RAN', 'Computer recognition of unconstrained handwritten numerals', 'Madeleine Leininger and the Transcultural Theory of Nursing', 'Brief interventions for alcohol problems: a review.', 'A Soft, Controllable, High Force Density Linear Brake Utilizing Layer Jamming', 'Meta-game Equilibrium for Multi-agent Reinforcement Learning', 'Applying Support Vector Machines to Imbalanced Datasets', 'Stabilization of a Quadrotor With Uncertain Suspended Load Using Sliding Mode Control', 'Deep Perm-Set Net: Learn to predict sets with unknown permutation and cardinality using deep neural networks', 'Deformable Shape Completion with Graph Convolutional Autoencoders', 'Bioavailability enhancers of herbal origin: an overview.', 'So-Called Non-Subsective Adjectives']"
Autoregressive Convolutional Neural Networks for Asynchronous Time Series,"['Understanding the complex dynamics of financial markets through microsimulation', 'A review on distance based time series classification', 'Time-Varying Copula Models for Financial Time Series', 'Artificial Neural Networks Approach to the Forecast of Stock Market Price Movements']","['ValenTo: Sentiment Analysis of Figurative Language Tweets with Irony and Sarcasm', 'Distributed Key Generation in the Wild', 'The Moral Dilemmas of Court Interpreting', 'Deep Learning for the Web', 'Kinematic calibration of a 7-DOF self-calibrated modular cable-driven robotic arm', 'The cooperative estimation of distribution algorithm: a novel approach for semiconductor final test scheduling problems', 'Realistic Microwave Breast Models Through T1-Weighted 3-D MRI Data', 'Open reduction and fixation of medial Moore type II fractures of the tibial plateau by a direct dorsal approach', 'Deep Compression: Compressing Deep Neural Network with Pruning, Trained Quantization and Huffman Coding', 'A Sufficient Condition for Convergences of Adam and RMSProp', 'ORec: An Opinion-Based Point-of-Interest Recommendation Framework', 'MRL — Memristor Ratioed Logic', 'Evidence-based practice: beliefs, attitudes, knowledge, and behaviors of physical therapists.', 'Where-and-When to Look: Deep Siamese Attention Networks for Video-based Person Re-identification', 'Framing Image Description as a Ranking Task: Data, Models and Evaluation Metrics', 'Functional significance of the cortico–subthalamo–pallidal ‘hyperdirect’ pathway', 'Diversity of wild bees supports pollination services in an urbanized landscape', 'Smart Cars on Smart Roads : Problems of Control', 'Consistent Individualized Feature Attribution for Tree Ensembles', 'Digital signature based on PlayGamal algorithm', 'Design and Implementation of High Frequency Inverter Operation for Induction Heating Cooking Application Using PSIM Software', 'Validity of clinical outcome measures to evaluate ankle range of motion during the weight-bearing lunge test.', 'Thyroid eye disease: a review.', 'Information Retrieval and Folksonomies together for Recommender Systems', 'Update on nasopharyngeal carcinoma.']"
Efficient Lane and Vehicle Detection with Integrated Synergies (ELVIS),"['On Enhancing Lane Estimation Using Contextual Cues', 'Vision on Wheels: Looking at Driver, Vehicle, and Surround for On-Road Maneuver Analysis', 'Trends in camera based Automotive Driver Assistance Systems (ADAS)', 'Fast Pedestrian Detection for Mobile Devices', 'Intelligence Testing for Autonomous Vehicles: A New Approach']","['Energy dissipation in general purpose microprocessors', 'A software architecture for Twitter collection, search and geolocation services', 'Self-Organizing Scheme Based on NFV and SDN Architecture for Future Heterogeneous Networks', 'Effective self-training author name disambiguation in scholarly digital libraries', 'An axiomatic approach for result diversification', 'Directed Graph Embedding: an Algorithm based on Continuous Limits of Laplacian-type Operators', 'The Alchemy Screen-Space Ambient Obscurance Algorithm', 'Predicting Trust and Distrust in Social Networks', '1D-local binary pattern based feature extraction for classification of epileptic EEG signals', 'Non-Negative Patch Alignment Framework', 'Identification of Design Elements for a Maturity Model for Interorganizational Integration: A Comparative Analysis', 'Adaptive Linked Data-Driven Web Components: Building Flexible and Reusable Semantic Web Interfaces - Building Flexible and Reusable Semantic Web Interfaces', 'Learning From Weakly Supervised Data by The Expectation Loss SVM (e-SVM) algorithm', 'Performance of the 802.11p Physical Layer in Vehicle-to-Vehicle Environments', 'Semantic Audiovisual Data Fusion for Automatic Emotion Recognition', 'Eye gaze patterns in conversations: there is more the conversational agents than meets the eyes', 'Online handwriting recognition for Tamil', 'A Framework for High-Level Feedback to Adaptive, Per-Pixel, Mixture-of-Gaussian Background Models', 'Magnetic integration of LCC compensated resonant converter for inductive power transfer applications', 'Data mining for customer service support', 'High-efficiency low-voltage dc-dc conversion for portable applications', 'Raspberry Pi based interactive home automation system through E-mail', 'HoloMed: A Low-Cost Gesture-Based Holographic', 'A Categorisation of Cloud Computing Business Models', 'Wi-Sleep: Contactless Sleep Monitoring via WiFi Signals']"
An Electronic Synapse Device Based on Metal Oxide Resistive Switching Memory for Neuromorphic Computation,"['Set Variability and Failure Induced by Complementary Switching in Bipolar RRAM', 'Spin-Transfer Torque Magnetic Memory as a Stochastic Memristive Synapse for Neuromorphic Systems', 'Resistive Switching by Voltage-Driven Ion Migration in Bipolar RRAM—Part I: Experimental Study', 'Bio-Inspired Stochastic Computing Using Binary CBRAM Synapses', 'Cross-Point Architecture for Spin-Transfer Torque Magnetic Random Access Memory']","['Consumer video understanding: a benchmark database and an evaluation of human and machine performance', 'Detecting Group Activities With Multi-Camera Context', 'MIMO channel modeling and capacity analysis for 5G millimeter-wave wireless systems', 'Complete and robust no-fit polygon generation for the irregular stock cutting problem', 'Review. The incentive sensitization theory of addiction: some current issues.', 'Which extractant should be used for the screening and isolation of antimicrobial components from plants?', ""Understanding quantified-selfers' practices in collecting and exploring personal data"", 'Historiographic Mapping of Knowledge Domains Literature', 'Arithmetic Coding for Data Compression', 'Statistics and Causal Inference', 'Comparative study on methods of detecting research fronts using different types of citation', 'A Survey on the Preprocessing Techniques of Mammogram for the Detection of Breast Cancer', 'The Impact of Emotion Displays in Embodied Agents on Emergence of Cooperation with People', 'On-board real-time tracking of pedestrians on a UAV', 'Microcontrollers as material: crafting circuits with paper, conductive ink, electronic components, and an ""untoolkit""', 'PCA-based feature selection scheme for machine defect classification', 'CP-nets: A Tool for Representing and Reasoning with Conditional Ceteris Paribus Preference Statements', 'Anatomy of an extremely fast LVCSR decoder', 'Securing Internet of Things with Lightweight IPsec', 'Building trust in m-commerce: contributions from quality and satisfaction', 'Large-Scale Hierarchical Text Classification with Recursively Regularized Deep Graph-CNN', 'Language GANs Falling Short', 'Curl-noise for procedural fluid flow', 'DBSherlock: A Performance Diagnostic Tool for Transactional Databases', 'Support Vector Data Description']"
Active One-shot Learning,"['Semantic Autoencoder for Zero-Shot Learning', 'Semi-Supervised Zero-Shot Classification with Label Representation Learning', 'Few-Shot Object Recognition from Machine-Labeled Web Images', 'Towards Generalizable Sentence Embeddings', 'Generalized Zero-Shot Learning via Synthesized Examples']","['Gram-CTC: Automatic Unit Selection and Target Decomposition for Sequence Labelling', 'Mind wandering and attention during focused meditation: A fine-grained temporal analysis of fluctuating cognitive states', 'BrainAGE in Mild Cognitive Impaired Patients: Predicting the Conversion to Alzheimer’s Disease', 'Multi-Adversarial Domain Adaptation', 'Cities and complexity - understanding cities with cellular automata, agent-based models, and fractals', 'Multi-Scale Convolutional Neural Networks for Time Series Classification', 'Mechanism Design via Differential Privacy', 'Novel Deep Learning Model for Traffic Sign Detection Using Capsule Networks', 'Free Space Optical Communication: Challenges and Mitigation Techniques', 'Modelling and Analysis of Infilled Frame Structures Under Seismic Loads', 'Smart Wheelchairs - State of the Art in an Emerging Market', 'Parametric Mixture Models for Multi-Labeled Text', 'A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks', 'Big Data and Predictive Analytics: Recalibrating Expectations.', 'Main Issues in Big Data Security', 'Joint CTC/attention decoding for end-to-end speech recognition', 'Deep Reinforcement Learning That Matters', 'Adversarially Regularising Neural NLI Models to Integrate Logical Background Knowledge', 'Deep Learning of Vortex Induced Vibrations', 'Information Technology for Knowledge Management', 'Mining the Web for Bilingual Text', 'Deep Noise Tracking Network: A Hybrid Signal Processing/Deep Learning Approach to Speech Enhancement', 'Efficacy of salmeterol xinafoate in the treatment of COPD.', 'Character-based Neural Machine Translation', 'A practical solution to the pervasive problems of p values.']"
Hidradenitis Suppurativa in Children Treated with Finasteride-A Case Series.,"['Labial adhesion - diagnostics and treatment.', 'A Disease-Modifying Approach for Advanced Hidradenitis Suppurativa (Regimen with Metformin, Liraglutide, Dapsone, and Finasteride): A Case Report', 'Hidradenitis suppurativa in children and adolescents: a review of treatment options.', 'Laparoscopic Total Extraperitoneal Hernia Repair Outcomes', 'The Role of Androgens and Estrogens in Hidradenitis Suppurativa - A Systematic Review.']","['Quantization Mimic: Towards Very Tiny CNN for Object Detection', 'A REVIEW ON A NEW TETRASPANIN, TSPAN-11', 'The neurophysiology of memory.', 'Development of Kinect based teleoperation of Nao robot', 'On discussion of AC and DC side EMI filters design for conducted noise suppression in DC-fed three phase motor drive system', 'Pentagon shaped microstrip patch antenna with metamaterial for UWB application', 'Computational Methods in', 'Interrater Reliability in the Clinical Evaluation of Myofascial Trigger Points in Three Ankle Muscles.', 'Why do people seek anonymity on the internet?: informing policy and design', 'Reconstruction and Simulation of Neocortical Microcircuitry', 'Time course of scalars-1 Some utterances are underinformative : The onset and time course of scalar inferences', 'A Markovian Decision Process Analysis of Experienced Agents Joining Ad-Hoc Teams', 'Text mining in a digital library', 'Single Image Super-Resolution via Non Sub-sample Contourlet Transform based Learning and a Gabor Prior', 'Estimation of Energy Balance Components over a Drip-Irrigated Olive Orchard Using Thermal and Multispectral Cameras Placed on a Helicopter-Based Unmanned Aerial Vehicle (UAV)', 'Revisiting epithelial‐mesenchymal transition in cancer metastasis: the connection between epithelial plasticity and stemness', 'Memristor-CMOS hybrid integrated circuits for reconfigurable logic.', 'A Comprehensive IoT Attacks Survey based on a Building-blocked Reference Model', 'Physiotherapy approaches in the treatment of ataxic multiple sclerosis: a pilot study.', 'Benefits and barriers to the consumption of a vegetarian diet in Australia.', 'Object-Extent Pooling for Weakly Supervised Single-Shot Localization', 'Unique bioactive polyphenolic profile of guava (Psidium guajava) budding leaf tea is related to plant biochemistry of budding leaves in early dawn.', 'Applications of machine learning in animal behaviour studies', 'Are hardware performance counters a cost effective way for integrity checking of programs']"
A survey of open source tools for machine learning with big data in the Hadoop ecosystem,"['Discovering charge density functionals and structure-property relationships with PROPhet: A general framework for coupling machine learning and first-principles methods', 'End-to-End Large Scale Machine Learning with KeystoneML', 'Digitized Locksmith Forensics: Design and Implementation of a Computer-Aided Forensic Analysis', 'RLScore: Regularized Least-Squares Learners']","['BadNets: Identifying Vulnerabilities in the Machine Learning Model Supply Chain', 'Combined Optimal Sizing and Control of Li-Ion Battery/Supercapacitor Embedded Power Supply Using Hybrid Particle Swarm–Nelder–Mead Algorithm', 'Modifying the baricity of local anesthetics for spinal anesthesia by temperature adjustment: model calculations.', 'A Minimum Delay Routing Algorithm Using Distributed Computation', 'Effective Music Feature NCP: Enhancing Cover Song Recognition with Music Transcription', 'Deep learning for word-level handwritten Indic script identification', 'Local Conditioning in Bayesian Networks', 'Qos architectural patterns for self-architecting software systems', 'Ultra-low-Voltage high-performance CMOS VCOs using transformer feedback', 'Citation Author Topic Model in Expert Search', 'A compact antenna-in-package 60-GHz SiGe BiCMOS radio', 'AI and HCI: Two Fields Divided by a Common Focus', 'Multi-fingered robotic hand employing strings transmission named “Twist Drive”', 'Cybersecurity as an Application Domain for Multiagent Systems', 'Error-Tolerant Scribbles Based Interactive Image Segmentation', 'Low Complexity Damped Gauss-Newton Algorithms for CANDECOMP/PARAFAC', 'Anomaly Explanation Using Metadata', 'A Cybersecurity Detection Framework for Supervisory Control and Data Acquisition Systems', 'Modeling somatic and dendritic spike mediated plasticity at the single neuron and network level', 'DéjàVu: a map of code duplicates on GitHub', 'Future research on gender symmetry in physical assaults on partners.', 'BaNa: A Noise Resilient Fundamental Frequency Detection Algorithm for Speech and Music', 'Design of a Multiphase Hybrid Permanent Magnet Generator for Series Hybrid EV', 'K2Q: Generating Natural Language Questions from Keywords with User Refinements', 'Algoritmic music composition based on artificial intelligence: A survey']"
